"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"gamma_prim",25.5680603788167,NA,NA,NA,NA
"gamma_temp",12.0037926646627,NA,NA,NA,NA
"gamma_home",8.14625600955368,NA,NA,NA,NA
"delta_temp",-1.54522426764418,NA,NA,NA,NA
"delta_home",-0.0645188914671082,NA,NA,NA,NA
"delta_temp_agk_18_29_woman",-0.650576033901714,NA,NA,NA,NA
"delta_home_agk_18_29_woman",0.580086290363528,NA,NA,NA,NA
"delta_temp_agk_18_29",0.156960012568857,NA,NA,NA,NA
"delta_home_agk_18_29",-0.625267819792901,NA,NA,NA,NA
"delta_temp_agk_30_44_woman_kids",0.0595779517834038,NA,NA,NA,NA
"delta_home_agk_30_44_woman_kids",0.149369692279242,NA,NA,NA,NA
"delta_temp_agk_30_44_woman_nokids",-0.347499128112617,NA,NA,NA,NA
"delta_home_agk_30_44_woman_nokids",-0.175443796456559,NA,NA,NA,NA
"delta_temp_agk_30_44_kids",0.00902165655671665,NA,NA,NA,NA
"delta_home_agk_30_44_kids",-0.584037288021693,NA,NA,NA,NA
"delta_temp_agk_45_64_woman",-0.210854888148955,NA,NA,NA,NA
"delta_home_agk_45_64_woman",0.19577264144591,NA,NA,NA,NA
"delta_temp_agk_45_64",0.272158652148785,NA,NA,NA,NA
"delta_home_agk_45_64",-0.158895722796864,NA,NA,NA,NA
"delta_temp_agk_65plus_woman",-49.9517584946691,NA,NA,NA,NA
"delta_home_agk_65plus_woman",-0.773280104200133,NA,NA,NA,NA
"delta_temp_agk_65plus",0.101690138450705,NA,NA,NA,NA
"delta_home_agk_65plus",0.427643576030408,NA,NA,NA,NA
"delta_temp_income_50minus",-0.0475144542043402,NA,NA,NA,NA
"delta_home_income_50minus",0.233288960662317,NA,NA,NA,NA
"delta_temp_income_100_149",0.259326406296546,NA,NA,NA,NA
"delta_home_income_100_149",0.629844553564982,NA,NA,NA,NA
"delta_temp_income_150plus",-0.251289119956994,NA,NA,NA,NA
"delta_home_income_150plus",0.599889674528132,NA,NA,NA,NA
"delta_temp_education_highschool",0.471530238345553,NA,NA,NA,NA
"delta_home_education_highschool",0.0478547663267865,NA,NA,NA,NA
"delta_temp_education_graduate",0.0269031347436244,NA,NA,NA,NA
"delta_home_education_graduate",-0.243719924045112,NA,NA,NA,NA
"delta_temp_impneighbor_20_39",0.479718327686518,NA,NA,NA,NA
"delta_home_impneighbor_20_39",-0.360957560888316,NA,NA,NA,NA
"delta_temp_impneighbor_40_59",-0.0164049428131319,NA,NA,NA,NA
"delta_home_impneighbor_40_59",-0.377979216715904,NA,NA,NA,NA
"delta_temp_impneighbor_60plus",0.923299271984287,NA,NA,NA,NA
"delta_home_impneighbor_60plus",1.03244557521327,NA,NA,NA,NA
"delta_temp_impneighbor_20minus_suburban",0.380425494125382,NA,NA,NA,NA
"delta_home_impneighbor_20minus_suburban",0.178042294921294,NA,NA,NA,NA
"delta_temp_impneighbor_20_39_suburban",-0.562324138052826,NA,NA,NA,NA
"delta_home_impneighbor_20_39_suburban",-0.10896044542246,NA,NA,NA,NA
"delta_temp_impneighbor_40_59_suburban",0.457368116707032,NA,NA,NA,NA
"delta_home_impneighbor_40_59_suburban",0.119376854872714,NA,NA,NA,NA
"delta_temp_impneighbor_60plus_suburban",-0.184308601441648,NA,NA,NA,NA
"delta_home_impneighbor_60plus_suburban",-0.0891622148678804,NA,NA,NA,NA
"delta_temp_impneighbor_20minus_town",1.27513078372343,NA,NA,NA,NA
"delta_home_impneighbor_20minus_town",0.272866687026925,NA,NA,NA,NA
"delta_temp_impneighbor_20_39_town",-0.514453376415875,NA,NA,NA,NA
"delta_home_impneighbor_20_39_town",-0.409242611914183,NA,NA,NA,NA
"delta_temp_impneighbor_40_59_town",-0.804922223364875,NA,NA,NA,NA
"delta_home_impneighbor_40_59_town",-0.465543124719453,NA,NA,NA,NA
"delta_temp_impneighbor_60plus_town",0.237926814135341,NA,NA,NA,NA
"delta_home_impneighbor_60plus_town",0.383942051020527,NA,NA,NA,NA
"delta_temp_jobtype12_professional",-0.370529525992521,NA,NA,NA,NA
"delta_home_jobtype12_professional",0.509232126138331,NA,NA,NA,NA
"delta_temp_jobtype12_administrative",-0.565646918577514,NA,NA,NA,NA
"delta_home_jobtype12_administrative",0.204451177027213,NA,NA,NA,NA
"delta_temp_homeownership_nonown",0.332925843637748,NA,NA,NA,NA
"delta_home_homeownership_nonown",0.281731327910825,NA,NA,NA,NA
"delta_temp_factor_score_1",0.0235126842929463,NA,NA,NA,NA
"delta_home_factor_score_1",-0.418671025224475,NA,NA,NA,NA
"delta_temp_factor_score_2",0.513468898492343,NA,NA,NA,NA
"delta_home_factor_score_2",0.697718665325157,NA,NA,NA,NA
"delta_temp_factor_score_3",0.0360066952242045,NA,NA,NA,NA
"delta_home_factor_score_3",0.0280155537416114,NA,NA,NA,NA
