"","alpha_base","gamma_prim","gamma_temp","gamma_home","delta_temp","delta_home","delta_temp_agk_18_29_woman","delta_home_agk_18_29_woman","delta_temp_agk_18_29","delta_home_agk_18_29","delta_temp_agk_30_44_woman_kids","delta_home_agk_30_44_woman_kids","delta_temp_agk_30_44_woman_nokids","delta_home_agk_30_44_woman_nokids","delta_temp_agk_30_44_kids","delta_home_agk_30_44_kids","delta_temp_agk_45_64_woman","delta_home_agk_45_64_woman","delta_temp_agk_45_64","delta_home_agk_45_64","delta_temp_agk_65plus_woman","delta_home_agk_65plus_woman","delta_temp_agk_65plus","delta_home_agk_65plus","delta_temp_income_50minus","delta_home_income_50minus","delta_temp_income_100_149","delta_home_income_100_149","delta_temp_income_150plus","delta_home_income_150plus","delta_temp_education_highschool","delta_home_education_highschool","delta_temp_education_graduate","delta_home_education_graduate","delta_temp_impgender_20_39","delta_home_impgender_20_39","delta_temp_impgender_40_59","delta_home_impgender_40_59","delta_temp_impgender_60plus","delta_home_impgender_60plus","delta_temp_impgender_20_39_woman","delta_home_impgender_20_39_woman","delta_temp_impgender_40_59_woman","delta_home_impgender_40_59_woman","delta_temp_impgender_60plus_woman","delta_home_impgender_60plus_woman","delta_temp_jobtype12_professional","delta_home_jobtype12_professional","delta_temp_jobtype12_administrative","delta_home_jobtype12_administrative","delta_temp_commute_noncar","delta_home_commute_noncar","delta_temp_neighborhood_suburban","delta_home_neighborhood_suburban","delta_temp_neighborhood_town_rural","delta_home_neighborhood_town_rural","delta_temp_homeownership_nonown","delta_home_homeownership_nonown","delta_temp_factor_score_1","delta_home_factor_score_1","delta_temp_factor_score_2","delta_home_factor_score_2","delta_temp_factor_score_3","delta_home_factor_score_3"
"alpha_base",0,-4.57554347018929e-18,-4.98063887693897e-19,2.30248517864673e-18,-4.15668245799407e-17,-4.56033773559377e-18,1.51964582614216e-18,3.73939204204172e-19,-2.06061916878823e-19,-4.97320336590186e-18,-7.49678849457799e-18,3.33909690040374e-18,-6.70208843976171e-18,2.87275182856004e-17,3.86010167508605e-18,2.08969917879496e-17,1.08312794946445e-17,-1.11386650438996e-17,6.91338924959446e-18,7.11472472306407e-18,-1.4751316024122e-18,-7.0930819854178e-18,3.21629248436206e-20,1.59455868171036e-18,-1.30876012663186e-17,-3.67673826621018e-18,3.11416235774837e-18,3.95624694501916e-18,-7.51516526282557e-18,-8.46389073739821e-17,-4.02943059925775e-17,-8.70532702041998e-19,-5.19064489451707e-18,-1.32426251389056e-17,-1.54472296103849e-17,2.83276213333125e-17,-1.20113227721659e-17,2.54251226637052e-17,-7.60196759523553e-18,-1.21118218128311e-17,-8.86441595847219e-18,8.24431867405278e-18,-5.66464711806323e-19,-7.72564087649966e-19,6.11290162164816e-18,6.09906667796216e-18,2.94861096399202e-17,-2.274285196354e-17,-3.41076946903878e-17,4.49103429774124e-17,-3.3708413294236e-17,7.03732349464808e-17,3.20943009593675e-18,2.54181898618893e-18,3.55467329316751e-19,-6.10634231593309e-18,-1.8719422208449e-18,-2.81317060417911e-18,2.72367402983302e-17,-1.51031915371327e-16,5.1105377771665e-18,5.16250560926623e-17,6.18139110587439e-18,7.95077560589004e-18
"gamma_prim",-4.57554347018929e-18,-0.224739822991733,-0.0144114750196138,0.119926678594088,1.71273121421028,3.93170230734887,0.145172292982369,0.276721618949749,0.213281830616633,0.367605801898699,0.232562735546037,0.45551177625533,0.151512875277028,0.398408118950748,0.449589736410954,0.81853376018688,0.267773839146401,0.703844311875069,0.644905789812606,1.4926730124376,0.00699007867115335,0.281527098357663,0.0927269428447466,0.467948569517552,0.180461136950807,0.348286380870299,0.412102211251838,0.936708275113775,0.509692448033061,1.48679725814125,0.484692745223475,0.760258759932673,0.642489109956809,1.5813737096435,0.803534768505112,1.62109132747652,0.273850528501273,0.702645473205149,0.152595992261147,0.610267995322612,0.403503011607497,0.927267612970275,0.134641312009667,0.349238184490469,0.0580208422848892,0.319538590369505,0.899837983360963,2.29254325628449,0.473287701774534,1.33665761488848,0.376284124909356,0.860930196747211,0.665551104190216,1.90022030912598,0.845347503957214,1.66830862613456,0.686409379370089,1.37195758402285,-0.890393129410043,-0.956796313383054,1.08219731267789,1.12854312137687,0.0521857926895027,-0.464992678819435
"gamma_temp",-4.98063887693897e-19,-0.0144114750196138,-0.518238299083963,0.0182413117744866,-2.31820249433563,1.0466500168881,-0.15594949462081,0.0573269599017674,-0.312763696772445,0.114554214165892,-0.319832230661343,0.160270104180791,-0.156893281969169,0.0792397145167578,-0.662466111495655,0.285565271796221,-0.28414582756459,0.156527691051524,-0.915324987710437,0.448344614324558,-0.000367380402216569,0.000203755853253147,-0.0540804702004151,0.0264589354195277,-0.259387777690368,0.112233644382103,-0.561996256870867,0.258146479570742,-0.499159365909381,0.246778109498955,-0.999462271621434,0.422588740772331,-0.713607342913666,0.337757935029838,-0.816026356546163,0.279675207251005,-0.226728599330863,0.0896007071025882,-0.530371179815186,0.343567283418222,-0.369261643215574,0.145889578577864,-0.119632603611484,0.0533095382270048,-0.202708573598078,0.137884381231311,-1.01809114124575,0.509609790271117,-0.583077704700021,0.297645290994997,-0.662556221832006,0.300222673025372,-0.792713595243984,0.382080506419077,-1.16527810618235,0.504748137325454,-0.947252858597668,0.434184214005297,0.34419245038296,0.104224466669963,-0.628625972501793,0.0509471808690012,-0.709243880400498,0.273478796568314
"gamma_home",2.30248517864673e-18,0.119926678594088,0.0182413117744866,-4.29365208203935,8.66881101065858,-29.7931580602887,0.448681704811098,-1.4977291962709,0.70274560681418,-2.14409483122142,0.980723208213534,-3.1999282043181,0.853344102237857,-3.2969622308435,1.74241129090035,-5.56452200567871,1.91733260904677,-6.32127455750386,4.13926496705943,-12.8492955848402,0.0349764923536433,-1.53832513843569,0.371431145399128,-2.86883962588559,0.815599692763761,-2.83488587551022,2.38142909969815,-7.77749965631689,2.99729586466249,-11.2996513947825,1.97988979674096,-5.48368255076001,3.12538094647423,-11.1145339986275,2.0336852550023,-8.21095038899244,1.01419551389109,-4.13679271085706,3.64915063380203,-10.4756444925568,1.13216499053034,-4.824483122627,0.495124376271698,-1.96546636824386,1.70684794237332,-5.42682049678236,5.17936967614264,-17.6065704075971,2.73830215896545,-10.2625615564842,2.97962522607797,-9.32452878314437,4.00968957856836,-14.917776341596,3.54730777613298,-11.5406523388535,3.19070923327995,-10.4693465905305,3.45661524251455,-8.92224777310973,-2.86452975781115,7.71927717717507,0.465443583322862,0.879378693203766
"delta_temp",-4.15668245799407e-17,1.71273121421028,-2.31820249433563,8.66881101065858,-240.194803322363,121.764444298478,-16.7965126122007,7.52054847902137,-26.1943922370465,12.0343263372389,-30.7073905888812,15.0505920461465,-22.139991605306,11.2215914367761,-56.5776605843088,26.9983482481161,-42.6481144138299,23.8382091078261,-98.9308068619366,53.5840032497809,-0.988687537831307,0.495399182971775,-12.4001810982537,5.94260571362198,-29.7663465898042,14.3605989027867,-61.101327591767,32.6685793055214,-71.2891262510473,37.1962990245684,-70.1563227189009,33.4505851506742,-83.231000742537,41.9852401572017,-79.5840970335192,33.1276046467102,-29.9626251064096,14.1204580684284,-63.6144217009489,41.7291763676059,-41.4903260479174,18.0224596875027,-14.9725319893975,7.18461637403934,-28.2587439526082,18.8950583518918,-129.6281990162,68.3731121098494,-72.9421455104892,38.2732694679509,-68.6907021966606,38.4545845209595,-100.426628030626,53.3386177370809,-109.584792986431,53.0195014764618,-93.9881222458634,46.4018724031074,15.4224357999971,16.9128898134841,-35.4527775065451,-7.12335321965254,-21.4262498642199,10.3748792083778
"delta_home",-4.56033773559377e-18,3.93170230734887,1.0466500168881,-29.7931580602887,121.764444298478,-413.205826794777,7.5205483751746,-24.5323449397638,12.0343263987665,-35.7981744654052,15.0505919863029,-47.6324308233946,11.2215914618543,-41.1267065179678,26.9983483407134,-84.432763981044,23.8382090857651,-79.4626220003404,53.5840034006784,-166.936913729353,0.49539917947102,-22.1758227567557,5.94260673634522,-43.4496406759999,14.3605989357006,-48.7651211274394,32.6685796556283,-104.40902962016,37.1962991945359,-142.109491533428,33.4505848287905,-93.4683499983356,41.9852403133422,-149.503255147126,33.1276046923634,-128.530804990232,14.1204581135962,-57.3071226632479,41.7291766056338,-120.499304872082,18.0224597844771,-73.0950445191687,7.18461636906505,-28.2512998640192,18.8950585068311,-60.7981895903552,68.3731121816135,-235.249245493738,38.2732695486443,-140.510921900444,38.454584624539,-119.363077332184,53.3386177263611,-195.609049024514,53.0195018914923,-170.109904509805,46.4018723795015,-149.489774618143,16.9128898630042,-21.6113590206974,-7.12335266320608,3.60944350351679,10.3748794441089,5.17505118910037
"delta_temp_agk_18_29_woman",1.51964582614216e-18,0.145172292982369,-0.15594949462081,0.448681704811098,-16.7965126122007,7.5205483751746,-16.7965126320192,7.52054831804055,-16.7965126303859,7.52054834197643,3.27615581506515e-11,1.2961823572253e-10,1.59596805029152e-11,1.18927715127438e-08,-2.37313896009304e-09,1.46153013957624e-11,1.05942116048744e-08,-5.10148520078493e-09,1.96435054694246e-08,-2.94661161578486e-09,2.00684621201317e-09,-4.04841232324282e-14,-7.5664106154155e-09,-4.21278989310646e-09,-6.41742774335508,2.27848265301907,-2.1876939659857,1.04651617667462,-0.48838927186485,0.22224729906285,-8.38482128746282,3.3501470173594,-2.73423694972499,1.09818353195401,-7.86473658731963,3.17453244216853,-3.02422639342394,1.34258770776586,-1.60412685496055,1.13723576274335,-7.86473658731291,3.17453243364084,-3.02422640462692,1.3425876728717,-1.60412686020345,1.13723577142662,-6.73640823927145,3.3652023919582,-7.24209621912434,3.45959336258138,-6.2690757934027,2.88075158818816,-5.31307015871015,2.66151806805806,-10.2674855959107,4.34959847581986,-12.2128046363403,5.48206370194486,4.70419194929644,-1.32780263851385,-8.98284984254118,3.25550516683637,-4.83607320855278,2.48694668457341
"delta_home_agk_18_29_woman",3.73939204204172e-19,0.276721618949749,0.0573269599017674,-1.4977291962709,7.52054847902137,-24.5323449397638,7.52054831804055,-24.532347760108,7.52054851966705,-24.5323456004195,-9.90374035262469e-09,-1.84437447735348e-12,1.09853689573408e-07,2.27906943959469e-07,-4.6198070497093e-08,1.00704778979415e-07,9.21822157790726e-08,5.06800968452657e-07,1.88217878423322e-07,3.50074589301927e-07,3.68334183792097e-08,9.08648989279151e-08,1.79450218969079e-06,4.99862011075555e-07,2.27848274730736,-8.61408030483908,1.04651695901731,-3.61125981115616,0.222247763748669,-0.88951174290968,3.35014720217839,-10.9255712373303,1.09818473084725,-4.45157506524779,3.1745326128185,-10.6775689255648,1.34258779067661,-4.02596447372304,1.13723640468048,-3.30617707070132,3.17453272754996,-10.6775689198721,1.34258784220829,-4.02596388634274,1.1372358388715,-3.30617640168203,3.36520257763815,-10.8298488782991,3.45959345025596,-11.4586206908976,2.88075177254602,-10.4129668447171,2.66151813102536,-8.48263828557713,4.3495993155722,-14.1281914227957,5.48206407781587,-17.4889980916489,-1.32780275709769,7.08883201244256,3.25550648474193,-11.5518096068575,2.48694753203312,-6.42694114957589
"delta_temp_agk_18_29",-2.06061916878823e-19,0.213281830616633,-0.312763696772445,0.70274560681418,-26.1943922370465,12.0343263987665,-16.7965126303859,7.52054851966705,-26.194392263743,12.034326307618,6.63179790230674e-11,2.62381254135664e-10,-2.00614123193671e-09,-4.26270715147536e-09,-9.59306543640075e-09,2.12734679508414e-08,-3.75686635803589e-09,-1.01478132819669e-08,3.97050377683137e-08,-5.95562131644055e-09,3.72407383310754e-09,-1.6861407649182e-09,-1.52938028932915e-08,-8.37965247943240e-09,-9.90717800604352,3.74296353144528,-4.21105316234572,2.21381404467772,-1.3818571596254,0.783017862396227,-13.4080653234935,5.62504750260006,-4.37030433355021,1.52056763072383,-10.4353307688236,4.00499089760144,-3.91123490060493,1.58655914305242,-4.01173245940125,2.95783159039883,-7.86473657929149,3.17453242831277,-3.02422641040227,1.34258762895222,-1.604126850349,1.13723587741136,-10.2744989470387,5.37066986717517,-9.6835572097369,4.64963961013841,-10.5561038394964,5.37338215724874,-8.09858832405597,4.03813250036808,-16.4634506485352,7.21777306459921,-17.815677492048,7.85236419073429,7.28899027952541,-1.72106379355803,-13.7502206031917,5.18073754082239,-11.049324406439,5.18669943496633
"delta_home_agk_18_29",-4.97320336590186e-18,0.367605801898699,0.114554214165892,-2.14409483122142,12.0343263372389,-35.7981744654052,7.52054834197643,-24.5323456004195,12.034326307618,-35.7981746410951,-3.64149716426668e-08,1.33471327956519e-07,3.02229775737882e-08,2.85533135365074e-08,-9.00528434907303e-08,-2.43036158918617e-09,2.53646667798886e-08,1.39024283153242e-07,5.17105501724165e-08,9.61783269394146e-08,4.85011265684399e-09,2.49988801056868e-08,2.46665854975125e-07,-6.76667756730902e-15,3.74296356339606,-12.02869516416,2.21381413914552,-5.90268514222658,0.78301791691208,-2.77535330697377,5.62504718689166,-15.8859480327755,1.52056787930082,-6.16523054723837,4.00499094357385,-13.6017193976348,1.58655917923234,-4.86927594487061,2.95783171204328,-6.93345197953294,3.17453243977625,-10.6775689120588,1.34258771651042,-4.02596448991938,1.13723577423593,-3.30617699131409,5.37066985911475,-16.0549296797559,4.6496396195324,-14.8382342067022,5.37338223369379,-15.9331615180437,4.03813230699656,-12.5104227443699,7.21777320034647,-20.619817702483,7.85236410258936,-23.2591707460468,-1.72106382556654,9.98474117515298,5.18073756013769,-15.9106151786527,5.18669952988718,-12.9084714897375
