"","alpha_base","gamma_prim","gamma_temp","gamma_home","delta_temp","delta_home","delta_temp_agk_18_29_woman","delta_home_agk_18_29_woman","delta_temp_agk_18_29","delta_home_agk_18_29","delta_temp_agk_30_44_woman_kids","delta_home_agk_30_44_woman_kids","delta_temp_agk_30_44_woman_nokids","delta_home_agk_30_44_woman_nokids","delta_temp_agk_30_44_kids","delta_home_agk_30_44_kids","delta_temp_agk_45_64_woman","delta_home_agk_45_64_woman","delta_temp_agk_45_64","delta_home_agk_45_64","delta_temp_agk_65plus_woman","delta_home_agk_65plus_woman","delta_temp_agk_65plus","delta_home_agk_65plus","delta_temp_income_50minus","delta_home_income_50minus","delta_temp_income_100_149","delta_home_income_100_149","delta_temp_income_150plus","delta_home_income_150plus","delta_temp_education_highschool","delta_home_education_highschool","delta_temp_education_graduate","delta_home_education_graduate","delta_temp_impgender_20_39","delta_home_impgender_20_39","delta_temp_impgender_40_59","delta_home_impgender_40_59","delta_temp_impgender_60plus","delta_home_impgender_60plus","delta_temp_impgender_20_39_woman","delta_home_impgender_20_39_woman","delta_temp_impgender_40_59_woman","delta_home_impgender_40_59_woman","delta_temp_impgender_60plus_woman","delta_home_impgender_60plus_woman","delta_temp_jobtype12_professional","delta_home_jobtype12_professional","delta_temp_jobtype12_administrative","delta_home_jobtype12_administrative","delta_temp_commute_noncar","delta_home_commute_noncar","delta_temp_neighborhood_suburban","delta_home_neighborhood_suburban","delta_temp_neighborhood_town_rural","delta_home_neighborhood_town_rural","delta_temp_homeownership_nonown","delta_home_homeownership_nonown","delta_temp_factor_score_1","delta_home_factor_score_1","delta_temp_factor_score_2","delta_home_factor_score_2","delta_temp_factor_score_3","delta_home_factor_score_3"
"alpha_base",0,1.29129315516695e-16,1.89720958331488e-17,-2.96934110702245e-16,-1.05938713730464e-16,2.26224911140787e-16,-1.22461668823145e-17,3.09450370326935e-18,-2.27669612497602e-19,1.62998071789528e-17,-3.1614376569755e-17,-6.02052351002485e-18,-5.96930317072693e-18,-7.29220824266003e-18,-3.33048759307143e-17,-7.21680922831356e-19,-4.65149606484375e-17,2.99662919014226e-18,-4.06156370650788e-17,-8.33258516486484e-18,3.67358085508573e-18,3.06735209119181e-18,-5.14346467821727e-18,-3.61152763293109e-18,1.42773194621388e-18,3.18788436115108e-20,-1.74288573301666e-17,-1.18007765024526e-17,-5.30410875121959e-18,-2.58851418453319e-17,1.42662824132078e-17,-2.78288639936868e-18,-4.07643635194101e-18,-2.99985778115919e-17,-1.50417540201683e-16,-1.21393180572828e-16,-1.94770994342977e-17,-1.93419778526639e-17,-4.31032302975442e-18,-7.76161524154091e-18,-1.37201295472051e-17,1.30259710692847e-17,-1.19915870354471e-17,2.21746482070629e-19,-1.30457299707438e-17,2.49094090810789e-18,-1.47191180307164e-16,-1.92494574933479e-17,-9.28265989734804e-17,2.33172385526553e-18,6.05675083982262e-18,-1.55003584013914e-17,1.88858512996524e-17,2.07394048426074e-18,2.01603878554801e-17,-2.09297267042305e-17,4.3369453395376e-17,-4.96017774493996e-18,-4.94666658047609e-17,-3.14610858345693e-17,-8.0120304656801e-19,-5.37377257007025e-17,-3.4563604406578e-17,-1.0296640557323e-16
"gamma_prim",1.29129315516695e-16,-154.655452119638,2.53648709964228,177.65084750474,49.6227121298061,107.318601054344,3.19712845552516,6.32674809644317,5.00012039980242,8.807939466605,6.40021649232527,11.439276994074,4.70058318630379,11.686985377384,11.65432696101,20.9016050426219,8.69538144492431,20.4778071211246,20.7514253297818,42.4601203265414,0.286019204135732,9.1749028236958,2.5153062906952,12.5899857797143,4.12511015269805,6.39735666990978,11.4233857752333,26.2818873742618,17.0782241965573,44.7234678991506,11.4865351140301,14.3013756394771,19.9019438990458,47.2777774443205,20.4577811187004,44.5437171398236,7.08797104307483,21.1038185195514,10.0038670727734,20.3375807579241,9.91389309632489,25.3207894302289,3.22700532641119,10.5649370181851,4.48687959494782,11.5716113552375,26.9113378842148,63.7078804947798,15.4424566863845,36.1751653286675,12.7538440773819,25.0982801315118,21.0078777865858,50.6710529126044,22.8691421694417,47.0512410132308,18.4711179379702,34.3101310831701,-7.78262621512151,-1.51193883559061,11.7325472218792,11.4785516291473,-1.09517899815996,-17.2897575222086
"gamma_temp",1.89720958331488e-17,2.53648709964228,-16.3387850562063,11.9928499967891,-19.2573381715071,9.18265154612511,-1.23794671450906,0.613018215212437,-2.50603378815537,1.23053321958164,-2.66649583454703,1.31454671763717,-1.08939959183783,0.624008020263117,-5.11352768061237,2.41587859686072,-2.37006433235669,1.10671635080166,-8.00330762289556,3.75096261945935,-0.00520943196484695,0.00195738969204,-0.659393462706159,0.291041776700672,-2.4519581199156,1.31530600506576,-4.80080499246303,2.25521035013701,-4.05277417147407,1.84282710486354,-8.38534829795983,4.0206375138021,-5.6971263487704,2.75245928835635,-6.05993605097351,2.67786382126802,-1.57681086727678,0.68323429086723,-5.60641779287845,2.75675222085142,-2.58795534940384,1.25927466488435,-0.726653267005892,0.375934784381254,-2.14352345395168,1.02402901445433,-8.11993559400654,4.01601924655027,-5.62214269457898,2.65820170542428,-5.91019137415348,2.8000216924966,-7.10262259315472,3.4551100748132,-8.92215817424007,4.27174505102527,-8.23434971137956,3.96858139189726,2.66122462915995,-1.16488247146986,-3.64007004593031,1.76956937888167,-6.15178036408326,2.7559647182342
"gamma_home",-2.96934110702245e-16,177.65084750474,11.9928499967891,-1216.92864640678,177.628174565181,-528.950083540242,11.9258451525711,-32.2408347362015,18.5570361885036,-46.2249979056238,23.1119263201264,-61.9056931104124,18.7547155422688,-60.9244194217106,41.8523997927412,-110.570767698886,31.6280665991784,-99.6553189889292,73.9163708174035,-210.218079473086,0.939593219819029,-29.5747921737584,7.7288402446035,-48.2884729485418,14.690977133043,-37.5673506184329,49.3494614116381,-140.454507743031,58.6368236843499,-202.481438156419,37.2101735987507,-83.0956298912841,69.2725036402339,-220.042246486277,57.3354229718115,-189.092142015194,22.4571981678811,-89.10682294386,49.2915714836804,-128.6612104739,31.2778435703846,-111.061581740922,10.9023155183304,-44.1984680175573,23.1764934806418,-68.6964155408305,105.083833068515,-320.173459431394,52.8163786926499,-166.845347208207,53.7359139348176,-146.728607873625,80.8331867423627,-248.920218493114,78.9203761911682,-227.984258964227,67.9964152221329,-185.101166271752,23.4036822589623,-72.7689722617443,0.499425301905218,12.8698040581841,20.8978393365483,3.17065734568672
"delta_temp",-1.05938713730464e-16,49.6227121298061,-19.2573381715071,177.628174565181,-198.045366226502,104.0706009932,-13.375662125078,7.13895360861073,-20.4240946032201,11.1465633838188,-25.3638648218888,13.6773010591545,-19.9155561112599,10.8068318113142,-46.2950609318049,24.6353852266161,-33.904143907581,17.8369231860627,-83.0687904805596,43.3047103275204,-0.977287344721122,0.502288753078262,-9.14801767675019,4.51799968060138,-19.1143318880517,9.98979373411333,-51.7577291170102,28.7366181939117,-62.673733473919,32.1275811390093,-50.1208661602556,25.6111643010908,-73.0573367850905,38.1183416961784,-69.4178023514632,34.1300425587532,-24.7909707145904,12.5548666057697,-51.4136188918014,28.3840602938089,-35.5487798357689,18.3919508066012,-11.7306873972359,6.05276078507008,-23.5737643113309,13.2456752408018,-108.502128307977,58.4435781536359,-59.5258984297086,30.6376515882296,-55.9725582405736,30.5275988558377,-85.6940133648353,45.8591126875302,-88.4356954964206,46.4586787317137,-75.7473111746298,39.9816231811404,3.01534906192826,3.36467226059371,-23.3728203074066,8.87391195186858,-15.5920894971652,11.198548119073
"delta_home",2.26224911140787e-16,107.318601054344,9.18265154612511,-528.950083540242,104.0706009932,-301.217582463528,7.13895361197557,-18.634662627424,11.1465634359402,-26.7684219375626,13.6773010538133,-35.0565179739181,10.8068318152601,-33.6375458873387,24.6353852294472,-63.4103806357023,17.8369231735858,-54.996909172158,43.3047103390477,-121.154430716057,0.502288750788093,-15.8172782857634,4.51799965567258,-26.646313442512,9.98979344192017,-23.3939605247471,28.7366182144818,-79.5418331981339,32.1275811242491,-111.368126063541,25.6111642814007,-53.9724223540161,38.1183417198808,-121.327794355137,34.1300425589991,-110.468462029664,12.5548666030348,-49.3998223713863,28.3840601929981,-71.0832979636168,18.3919508031605,-62.9496590202921,6.05276077511231,-24.1408761114252,13.2456751734132,-37.3301910142868,58.4435781477473,-177.469990676906,30.6376515674528,-94.2137640249261,30.5275988628017,-81.2283426630822,45.8591126818714,-138.030486167786,46.4586787638093,-131.773261966849,39.9816232276879,-105.300478962273,3.36467226534119,-17.7290370725892,8.87391233745558,-14.5186800783204,11.1985481076555,7.25391140312214
"delta_temp_agk_18_29_woman",-1.22461668823145e-17,3.19712845552516,-1.23794671450906,11.9258451525711,-13.375662125078,7.13895361197557,-13.3756621320355,7.13895363745451,-13.3756620534807,7.13895360432588,7.47599143105984e-10,1.61485108387183e-08,8.59026130372992e-09,1.93981964204872e-08,-1.00245596350913e-08,3.05182785819945e-11,-6.37782248701949e-09,-9.13197197699341e-08,-8.91306828518622e-09,-3.25122380828956e-15,1.15728066629032e-09,1.27588175155513e-11,1.57720779414453e-08,1.74802059607376e-13,-5.35749430217248,2.2750576439083,-1.83077800267734,1.08156578698627,-0.205728193106614,0.0957253738058837,-6.79814031031398,3.26805356930191,-1.98690182515231,0.881011336122061,-6.45868162101935,3.38776460581548,-2.06561662167352,1.08122365304772,-2.09259388169383,1.28933468525451,-6.45868163402971,3.38776460905576,-2.06561661725423,1.08122367573026,-2.09259396787047,1.28933460487297,-4.57819818478366,2.74517622358653,-5.9958092555009,2.96293948363574,-5.23298820584822,2.53404460936816,-4.54703491464958,2.25202963766804,-7.5670117361606,4.13004584096979,-10.1398623356071,5.49663154706386,2.60037908822157,-1.27476342159736,-6.14148118099419,2.94422912720292,-4.21717436425938,2.61177560029675
"delta_home_agk_18_29_woman",3.09450370326935e-18,6.32674809644317,0.613018215212437,-32.2408347362015,7.13895360861073,-18.634662627424,7.13895363745451,-18.6346627776185,7.13895386276882,-18.6346626704455,-9.79867823753206e-15,1.07443477361199e-07,5.72281281495664e-08,-1.66386530088003e-15,-2.85998565130748e-09,7.60252527548852e-08,-3.36725574146239e-09,-2.64930563815124e-08,4.33307571272065e-11,-9.50801771454431e-09,3.4146385040978e-09,-2.84006786280475e-09,5.06302468411424e-08,1.39491632488154e-07,2.27505788492085,-5.86079246299921,1.08156585785691,-2.81493240632595,0.0957253866300882,-0.484204595897368,3.26805358793392,-7.21142216012058,0.881011237208066,-3.65515023855954,3.38776462874201,-8.52094898816748,1.08122366507426,-3.51411652104813,1.28933471974287,-3.10608109814411,3.38776460270529,-8.52094899297966,1.08122369044066,-3.51411648418587,1.28933462795905,-3.10608106535486,2.74517621434302,-7.68769175301322,2.96293948441262,-8.21840089099099,2.53404463950845,-7.50468519748235,2.25202964528082,-5.99471808409054,4.130045967969,-10.6405799462268,5.49663159024204,-14.0360678974394,-1.27476330180293,2.34050590551654,2.9442332626765,-8.63888436634454,2.61177566234471,-5.31520303445001
"delta_temp_agk_18_29",-2.27669612497602e-19,5.00012039980242,-2.50603378815537,18.5570361885036,-20.4240946032201,11.1465634359402,-13.3756620534807,7.13895386276882,-20.4240971181767,11.1465632835959,2.82469489293095e-10,3.97368873798996e-07,2.116524620078e-07,5.63790955965041e-10,-7.56787646513387e-14,7.49781213846082e-10,-1.5714205943901e-07,-2.25289017306736e-06,3.06054236406952e-10,5.24650908016946e-10,3.36844774416176e-11,-1.98066136598659e-08,-1.1723601386756e-14,1.08517790196246e-06,-7.25214167979229,3.42085121030766,-3.30080698456857,2.11654917791895,-1.26178405679271,0.687174865379541,-10.5313304859076,5.43594912041177,-3.26263170981591,1.33150316889901,-8.05215283660575,3.83576253177136,-2.86445749384894,1.50146137481521,-4.04765259974631,2.7891663170504,-6.45868179252589,3.38776467671847,-2.065616595418,1.0812238523296,-2.0925937672721,1.28933536325972,-6.69254658146415,4.11425853744213,-7.59442243203837,3.91295240471727,-8.89830377112801,4.96254502697088,-6.79147187997126,3.43778401930506,-12.3710067856352,6.95190348924149,-13.9534697150141,7.78073122370164,4.07411579132898,-1.58395166207305,-10.0812218095609,5.32742104965482,-10.5215910037729,5.96532093257539
"delta_home_agk_18_29",1.62998071789528e-17,8.807939466605,1.23053321958164,-46.2249979056238,11.1465633838188,-26.7684219375626,7.13895360432588,-18.6346626704455,11.1465632835959,-26.7684219316416,3.12626309415498e-11,5.61224781543506e-11,1.49466946185904e-11,3.11969027788269e-11,-1.36249449800352e-08,-3.2282357803385e-08,-8.65814525167598e-09,-1.24116839395533e-07,1.68848583953935e-11,-2.26190958274e-08,-4.87288807785064e-15,-1.46058870909877e-08,1.02056472088204e-15,-6.52112280622e-08,3.42084982202273,-7.50328564797321,2.11654898102953,-4.46987848256151,0.687174389731229,-2.48195411851358,5.43594802234604,-10.7052811731423,1.33150273666381,-5.15462682159178,3.83576254214846,-10.0999076135966,1.50146155051237,-4.45281763915454,2.78916356226488,-5.49489252049943,3.38776459146065,-8.52094901486758,1.08122365785008,-3.51411652251023,1.28933460229661,-3.10608126212361,4.11425873430341,-10.7754239783209,3.91295235145413,-10.5423760342379,4.96254483859548,-11.8730517169526,3.43778104177829,-8.55406835227712,6.95190423658057,-16.214989031732,7.78073229516002,-17.8879429040462,-1.58395155161368,4.57660523365092,5.3274200305554,-12.7261489764111,5.96532038808007,-12.6347521308638
