"asc_2","asc_3","asc_4","asc_5","asc_6","b_2_age_18_29","b_3_age_18_29","b_4_age_18_29","b_5_age_18_29","b_6_age_18_29","b_2_age_45_64","b_3_age_45_64","b_4_age_45_64","b_5_age_45_64","b_6_age_45_64","b_2_age_65plus","b_3_age_65plus","b_4_age_65plus","b_5_age_65plus","b_6_age_65plus","b_2_gender_women","b_3_gender_women","b_4_gender_women","b_5_gender_women","b_6_gender_women","b_2_kids_kids","b_3_kids_kids","b_4_kids_kids","b_5_kids_kids","b_6_kids_kids","b_2_genderkids_women_kids","b_3_genderkids_women_kids","b_4_genderkids_women_kids","b_5_genderkids_women_kids","b_6_genderkids_women_kids","b_2_income_50minus","b_3_income_50minus","b_4_income_50minus","b_5_income_50minus","b_6_income_50minus","b_2_income_100_149","b_3_income_100_149","b_4_income_100_149","b_5_income_100_149","b_6_income_100_149","b_2_income_150plus","b_3_income_150plus","b_4_income_150plus","b_5_income_150plus","b_6_income_150plus","b_2_education_highschool","b_3_education_highschool","b_4_education_highschool","b_5_education_highschool","b_6_education_highschool","b_2_education_graduate","b_3_education_graduate","b_4_education_graduate","b_5_education_graduate","b_6_education_graduate","b_2_impedance_20_39","b_3_impedance_20_39","b_4_impedance_20_39","b_5_impedance_20_39","b_6_impedance_20_39","b_2_impedance_40_59","b_3_impedance_40_59","b_4_impedance_40_59","b_5_impedance_40_59","b_6_impedance_40_59","b_2_impedance_60plus","b_3_impedance_60plus","b_4_impedance_60plus","b_5_impedance_60plus","b_6_impedance_60plus","b_2_neighborhood_suburban","b_3_neighborhood_suburban","b_4_neighborhood_suburban","b_5_neighborhood_suburban","b_6_neighborhood_suburban","b_2_neighborhood_town","b_3_neighborhood_town","b_4_neighborhood_town","b_5_neighborhood_town","b_6_neighborhood_town","b_2_jobtype12_professional","b_3_jobtype12_professional","b_4_jobtype12_professional","b_5_jobtype12_professional","b_6_jobtype12_professional","b_2_jobtype12_administrative","b_3_jobtype12_administrative","b_4_jobtype12_administrative","b_5_jobtype12_administrative","b_6_jobtype12_administrative","b_2_homeownership_nonown","b_3_homeownership_nonown","b_4_homeownership_nonown","b_5_homeownership_nonown","b_6_homeownership_nonown","b_2_factor_c_score_1","b_3_factor_c_score_1","b_4_factor_c_score_1","b_5_factor_c_score_1","b_6_factor_c_score_1","b_2_factor_c_score_2","b_3_factor_c_score_2","b_4_factor_c_score_2","b_5_factor_c_score_2","b_6_factor_c_score_2","b_2_factor_c_score_3","b_3_factor_c_score_3","b_4_factor_c_score_3","b_5_factor_c_score_3","b_6_factor_c_score_3","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2189.53007139668
-0.158311354985273,0.0209696654934631,-0.0241304219588617,-0.164109643501638,-0.318309712890893,-0.0364621745405942,-0.0919272191760433,0.052759539346678,-0.334356598536962,-0.170728319244525,-0.109583074695743,0.0267648657920758,-0.00757069549153507,-0.0230644939643301,-0.166727855083875,-1.30033225788173,-0.0126406008764736,0.0704082367816256,-0.161146244185862,0.122898573686936,-0.0914536499270517,0.00766047558693695,0.0304789382194842,-0.178960436904236,-0.262890430141851,-0.138141378455823,-0.0917308103340957,-0.0435021175166582,-0.131796101328377,-0.012100996006514,-0.0559012520899661,-0.0264778458060802,-0.0396834220386001,-0.109661124731373,-0.113079989504368,0.176932988868341,0.0350239885323137,-0.3119599502247,-0.214628995379509,-0.507688171653065,-0.0714294027530392,0.0194542795812751,-0.0745089553175642,-0.119831689233671,-0.211343857210934,-0.299624796028043,0.0362732593706923,0.0575491173322329,-0.117630590293459,-0.263240755535913,0.0709886114874564,-0.0313718551506599,-0.379968122354211,-0.156250239533225,0.0162123338102178,-0.256574905607676,-0.0296913649640387,0.0201248408498107,-0.257774957758538,-0.0138275211022618,-0.115674889790426,-0.227803612016349,0.0190662673199216,-0.267464910886771,-0.0813654883455626,-0.0528212250121959,-0.126105318594365,0.074919209072815,-0.330553558349587,-0.13131179414612,-0.214644987618431,0.0850466226615977,-0.0150706165301217,-0.0218663072347561,-0.205535560779348,-0.263035363116319,0.0196166750182263,0.0158596698230156,-0.0601368276089108,-0.313830435969925,-0.0456588861153141,0.0149137557240429,-0.157935944966517,0.00444560360283416,-0.312156553682756,-0.208739240609838,0.0528312122511485,0.0252212437795598,-0.251748472091134,-0.260967524215193,-0.371750179784828,0.0251340214050116,-0.0208708347165197,-0.110169159461878,-0.336967827004995,-0.0776005383266488,0.006403127519818,-0.127112954054844,-0.0384730573611217,-0.186022967163007,0.0964122465921941,-0.114663763757622,-0.0871019576877643,-0.196784690922421,-0.00416346807832399,0.0388906879248247,0.1028494172791,0.070444506304113,0.181242899141159,-0.140565492673223,0.109953238758038,-0.0274991253953201,-0.0644540589941444,0.0930944295920827,-0.124728508587908,-1749.87103070959
-0.244798127873704,0.0317985216079896,-0.0686050177719698,-0.262290374279341,-0.511052734700222,-0.166147050723506,-0.263417725764976,0.171085124346139,-0.457159570224751,-0.155781906596494,-0.0964561646629038,0.0688819872996302,-0.0207792552983067,0.0306698294787351,-0.134570938973592,-3.14230532691554,0.0226162259465589,0.0824886471484736,-0.678893178646113,-0.125481851028844,-0.166540931003609,0.0175292944966468,0.0663822055112193,-0.333102601958609,-0.396297691390418,-0.212007725693551,-0.253354865891548,-0.0924544034751093,-0.135836305682169,0.0627142978715538,-0.123376305474143,-0.0486361062683655,-0.0852819028922771,-0.17516783907456,-0.12379982956912,0.217537512586993,0.117925641023617,-0.667496046296638,-0.605331537948661,-0.848271631025498,-0.0539999364724155,0.0608689390305337,-0.201544215809667,-0.182054204389474,-0.245090312437147,-0.441252456755887,0.0937643576041168,0.11884563947678,-0.244243541669206,-0.428217237372422,0.137144419924842,-0.0959659930389001,-0.763562749023351,-0.2413092166289,0.124591912886523,-0.37781429216579,-0.0824623112510245,0.00128178861880536,-0.429052226361057,-0.0154911076648037,-0.172477976099381,-0.690394051399555,0.0629416324986061,-0.36180166861078,-0.0567034089060852,-0.0636930093334689,-0.44072662331394,0.205210586257637,-0.481825458199234,-0.121698400561758,-0.326194140343373,0.310734726280866,-0.016461322572664,-0.108535644567719,-0.281160670837515,-0.441725201097094,0.0576265805425561,0.00651786156666284,-0.16736780666371,-0.474913227299957,-0.123275544223022,0.0261098954244791,-0.352648782891539,0.120272646959284,-0.485894953693241,-0.352227704994176,0.123502871122812,0.0280878103253794,-0.417694424156983,-0.419012517604388,-0.708094937800683,0.0535030738135419,-0.0927199606764899,-0.236414135611141,-0.493383558755483,-0.129312260636732,0.0147715604775272,-0.301406121828301,-0.0171690717730767,-0.197499795045453,0.0807705378006721,-0.368707144888413,-0.21983802142546,-0.247108443169995,-0.13536421151952,0.122172867676862,0.339392466079395,0.167446067312773,0.287703660602746,-0.159296898726116,0.16038690110093,-0.0787693563090326,-0.133268972039029,0.161231442033382,-0.155024533487749,-1542.50214684307
-0.289114006329965,0.0507687638130875,-0.105987453790127,-0.300102713539323,-0.680174984073093,-0.200548574132243,-0.341622447765113,0.308152657141802,-0.479665087257959,-0.176963748897341,-0.0341780530722466,0.176594576545982,0.00543337614090907,0.100385407144894,-0.0561214212420316,-2.52484415521871,0.0357250863906612,-0.0263427853264758,-0.722632455653743,-0.280869947805437,-0.176616173573642,-0.0138777149727038,0.125136857336375,-0.359116590381653,-0.376258958358622,-0.207998266803789,-0.454892447465297,-0.1566560014238,-0.142153601195507,0.0852165750007352,-0.114943475703735,-0.0292810462319754,-0.145350440175245,-0.141072802341877,-0.226122064739256,0.231574381486548,0.285594524552424,-0.689982780139214,-0.697018154522322,-1.03600481757714,0.0303371502574449,0.131784593424833,-0.272645366523861,-0.147064290056345,-0.297010258381397,-0.423984896626732,0.194986623319119,0.146121336744781,-0.17455919752605,-0.435225680921825,0.180971219086216,-0.177749604414593,-0.876268432294367,-0.297212654768497,0.12915119016264,-0.404574270409274,-0.180025102026553,-0.0624892001146135,-0.49142378296056,0.0580148694157295,-0.268876516057764,-1.074200116252,0.0867234712338197,-0.537815982426844,-0.0890611252665494,-0.0358161748999541,-0.779571474667654,0.337300355855178,-0.655634616155056,-0.141122287751012,-0.159097924175233,0.679776081800895,0.179480338495952,0.0504573938004429,-0.0766501914188626,-0.504814363193281,0.0712744547711779,-0.000719322081570817,-0.112673603670153,-0.539220162152306,-0.138033426410453,0.0530655670884896,-0.443540121294883,0.0578201706733698,-0.577502047136969,-0.418230180907114,0.258125790291064,0.0239229772544159,-0.468944852747819,-0.451700394691129,-0.965939293910816,0.106571172424774,-0.163634886324892,-0.403660627754228,-0.671361367216891,-0.190648522725971,0.0349744038642254,-0.374940377291356,0.0100449793072441,-0.215031677422014,-0.0805288912524428,-0.696947233055914,-0.417545786202392,-0.463334217515058,-0.3410439969263,0.269547888191438,0.626962994674442,0.295948015715553,0.467377221789329,-0.0975941967051027,0.130293849581544,-0.123741641747528,-0.152228395068155,0.163503791231629,-0.190259986577195,-1457.18314543428
-0.302516873418195,0.0097188897603287,-0.159338728440327,-0.301393197587178,-0.913967289668051,-0.139079587537724,-0.259413117164627,0.426512210082985,-0.280746553054427,-0.0221323349330846,0.114890310380537,0.244522680453618,0.0724114470102594,0.270614038729171,0.132015973483165,-10.7319513625894,0.0224284547781116,-0.0492380184622633,-0.842481226060515,-0.23833316328771,-0.111386984750232,-0.104436008081557,0.19051978837087,-0.362020504172289,-0.300371779026727,-0.212357327099071,-0.716420093869674,-0.205219014283472,-0.131650563613588,0.195023894647214,-0.121121012607871,0.122803471973509,-0.17854854576048,-0.154509734381616,-0.272530415406945,0.309565122062606,0.404231265052683,-0.734613445865544,-0.896465431505921,-0.960382913473705,0.168027484935762,0.217837284567297,-0.273211727027362,-0.0961655111345717,-0.198281025446645,-0.308245788440743,0.317857622857598,0.203904591545386,-0.09279392235754,-0.384257236995907,0.248929373644994,-0.290707416780588,-0.986743861910523,-0.363873006207326,0.240784613266049,-0.386182880513668,-0.311153742991445,-0.13245295463845,-0.557635189780498,0.108947809019236,-0.293982867088132,-1.30843118856472,0.141124785084078,-0.55470722330317,-0.0159516954681996,-0.0451212280599363,-0.970583019638989,0.406717713602148,-0.691287774190546,-0.118320801308137,0.0861394216957158,0.965529995607748,0.511887256896282,0.20562031443976,0.167439758116089,-0.525682559747132,0.0250092733779643,-0.00683096575897425,-0.0837211099334742,-0.508366750176734,-0.247765111770254,-0.0124560569465118,-0.502282394155249,0.198031765517269,-0.670877105426812,-0.491383830548089,0.413524064967217,0.0488632169731695,-0.54238606092749,-0.48303812054727,-1.17579507441801,0.179735458609102,-0.223185534520724,-0.499388575575131,-0.700664502028714,-0.192504737945041,0.0188898967432075,-0.448004146452119,0.119634253700229,-0.13114950349508,-0.201350963327675,-0.884593409256756,-0.584512564735487,-0.559887359609358,-0.523777137958473,0.385495160331451,0.787086447644844,0.376150925376833,0.575077470830217,-0.0488538347583792,0.128349576530944,-0.129070134954535,-0.160309506113678,0.20705044315265,-0.201115659693234,-1434.27931401068
-0.358873600094131,-0.187456437584795,-0.334356436108158,-0.263256756721171,-1.69355982943243,-0.0425735818770637,-0.208683157580969,0.50700753713535,-0.286831354711714,0.237990059288569,0.0770297253243991,0.299114956492909,0.131886244007327,0.331878034131572,0.359186491014123,-11.7671556995802,-0.00638829305556631,-0.0862307874354668,-0.777118319209086,-0.147507173919365,-0.0489755877107615,-0.220786337876621,0.214625288541693,-0.450725546721338,-0.185974743047196,-0.382788128598832,-0.869757043201352,-0.215322654201846,-0.187036488416583,0.288162888347072,-0.136581265336484,0.335657971949985,-0.161642988521742,-0.06654574011662,-0.336052220134251,0.353467089355578,0.455883018322486,-0.696698088180052,-0.666899850594652,-1.09586192157932,0.330567754467561,0.345723431644817,-0.184950277702828,0.0751293925524213,0.067572827867863,-0.117212225973781,0.450910633942004,0.301372683890765,0.11509824951421,-0.142147057551663,0.193928840018814,-0.335614738687958,-1.03885121153917,-0.367631086898547,0.425536032178884,-0.380996439605736,-0.417939369469104,-0.243410079381055,-0.645101129948744,0.162025692480156,-0.156152200326972,-1.30687901727903,0.285266712544308,-0.625223277356404,0.220242235547147,0.032941178401853,-1.02795591599138,0.516515990545876,-0.788441506237003,0.0515308616007907,0.369452950985557,1.16149232180337,0.868917787213986,0.48226756049228,0.652590980084463,-0.650628600278133,-0.048431854007222,-0.029419739979041,-0.0852200997611393,-0.465739709410722,-0.241131527245331,-0.110202644668728,-0.621209599226126,0.0233211714679549,-0.711990898592641,-0.559675629546597,0.680408101594683,0.0998966356795755,-0.662189402555028,-0.335662658605117,-1.1908343794433,0.419876412197474,-0.203973705609411,-0.752087928607522,-0.660284829332856,-0.135902644678581,0.0188079773607956,-0.463309297314279,0.222078194267563,-0.0329972359954181,-0.221096305833895,-0.93650030859889,-0.658750687315704,-0.669747413146578,-0.54781713708774,0.394574673030893,0.823794286777552,0.373056153145195,0.621375554014531,-0.0397941678141865,0.186092430620616,-0.114906842577173,-0.136165120872024,0.21416154922665,-0.16477880018284,-1426.02965035693
-0.529734614476041,-0.52975197136278,-0.604584950699385,-0.444730242418424,-2.47601433305621,-0.0700187309885168,-0.187380245344939,0.573911584711973,-0.170881681136129,0.20475539766602,0.223040302818586,0.322802067637767,0.157515149368206,0.369487184029626,0.472602216237357,-11.9536980536447,0.00647795384181601,-0.0673872335646785,-0.837001457548362,0.100967722976151,-0.0571300581760207,-0.274863656547424,0.208509062040197,-0.458492704225085,-0.0433646524474152,-0.263840042093734,-0.971517827391898,-0.231646806492633,-0.209694844795257,0.421810106451952,-0.130402519341074,0.48255726498087,-0.117101513275443,0.0253074170916639,-0.349110533219887,0.438391558287017,0.510133630939592,-0.589759458746348,-0.922521931448952,-1.01823180753903,0.40474771263556,0.464806193566566,-0.0886845714617267,0.139593923025904,0.216897099998235,-0.0268668273565884,0.548961562237016,0.396546475848346,0.115850790358862,0.0325198753134575,0.304506480431989,-0.308104728012687,-1.01209823502401,-0.428777053644776,0.596861869019038,-0.44804025332882,-0.443584458100982,-0.287758000126082,-0.672827784056688,0.24329207129551,-0.208656323901175,-1.2321978402026,0.407054015220853,-0.421578724712368,0.419024302065996,-0.0306533969326385,-1.00026405203261,0.626895439898771,-0.677433228664945,0.21515546423207,0.417299559129848,1.29111356370641,1.06489433778955,0.616256061277079,0.88010380260615,-0.56470549952105,-0.0763563147020497,-0.0608233165287559,-0.0993604260691519,-0.52389778702621,-0.316053311599959,-0.139393993242,-0.687967101923461,0.16340450682101,-0.652484054319973,-0.49778961016591,0.957113517370187,0.224321604771119,-0.565157463709787,-0.128424542766473,-1.28753783231741,0.676555281210731,-0.0879790583580408,-0.639080907290616,-0.476175425737723,-0.134780618261383,0.0408349004012438,-0.455374811526382,0.183520733300613,0.19403707271389,-0.265440825770589,-0.931005173011099,-0.673444069738936,-0.593173081881039,-0.552656814763785,0.452562358286659,0.839157297643154,0.367609886472667,0.661227518992222,-0.0738160661936522,0.166842868023824,-0.106008912975135,-0.130633923921073,0.252705100531554,-0.168800931011217,-1422.27926530611
-0.7460340662195,-0.978706337428711,-0.958274160786682,-0.724099147996612,-2.94449340087669,-0.00641400657986997,-0.184157494303359,0.591611419072573,-0.215800706018472,0.578572791218383,0.187122563075259,0.367082411289125,0.192808668316206,0.444373667342607,0.500520471096475,-12.1463818566506,0.075288155639788,-0.00764703636475081,-0.703878430767817,-0.0255008800862924,-0.0744665497164472,-0.257382559943521,0.221833578967501,-0.354553177963934,-0.0924020531531017,-0.330919305292931,-0.959214034638963,-0.209697653232181,-0.18362723655752,0.472705572914185,-0.0752966379818053,0.527813784909186,-0.0968907646145113,-0.0825118270701856,-0.409845278287502,0.393999270003459,0.546346324379668,-0.561970341025314,-0.831670067397252,-1.08797362694337,0.43654621313421,0.536423167359515,-0.0368948947337629,0.193209867596929,0.234224391721782,0.0323880041425434,0.614601454619583,0.457596805079844,0.163012581632826,0.0736472351386728,0.303273500536569,-0.228090637498408,-0.974178630733343,-0.299453254380016,0.681317816822454,-0.410797833125315,-0.410310023702799,-0.258837738012556,-0.677927983966021,0.260173726244973,-0.128994758024243,-1.16264207905594,0.459531243388254,-0.422492651099534,0.476729490024061,0.0650247286743906,-0.93439327415429,0.68167934954747,-0.669622777455294,0.335540391330619,0.510537879223082,1.36177954258715,1.10411286345055,0.604171030091753,0.938391069184865,-0.556302464909356,-0.0460590770314158,-0.0437099469892921,-0.0684895679516288,-0.422835709864298,-0.186104095209748,-0.0854492503390273,-0.631202866387593,0.129583302494231,-0.501040681420164,-0.392090969703371,1.19904861782769,0.412307015166865,-0.448898536110275,0.226632346676504,-1.11575892357228,0.900967313449375,0.0917916806627621,-0.509164145984526,-0.0705138616047423,-0.099264733120885,0.0998576688922663,-0.426090042257915,0.232314097208377,0.133539657311577,-0.222356956049421,-0.92486171191974,-0.667943237921148,-0.577009381316216,-0.62423866136197,0.428909717131125,0.849750101155227,0.380519892695364,0.619987896209641,-0.0827300183192965,0.184755322300616,-0.0981636493030403,-0.134102125766607,0.248258978867124,-0.124237407154719,-1420.44298102269
-1.03007541022819,-1.45358513473226,-1.3867562370105,-0.9568687769943,-3.17818029874139,0.0556849184484619,-0.126213706265551,0.658771200202823,-0.0939615357292789,0.104073744781619,0.18050488991334,0.419516187231403,0.230906548794776,0.439353249654265,0.487930396282397,-12.0607980482995,0.142486246688022,0.0568086495169863,-0.7011733656492,0.146030447897645,-0.0450403113661272,-0.219174716120624,0.25459172100621,-0.414132648917015,-0.0300934910680681,-0.334201555567464,-0.90073277726723,-0.163095114948104,-0.124943270645663,0.522781705329579,-0.106976769190263,0.502598614259902,-0.116904670092568,-0.0381939421989488,-0.278777111759825,0.373224939356489,0.554390539791673,-0.561978993156575,-0.822024404048477,-0.745165892867853,0.488491474702638,0.579299587065312,0.00802660608282053,0.218576058017213,0.378515508500387,0.0926101110507452,0.667064097738225,0.513621661911467,0.219240841725395,0.177018803517485,0.357629270441331,-0.149204118029426,-0.90632387876533,-0.282689646523941,0.660876428065843,-0.389962804313568,-0.377613881076379,-0.224714916829663,-0.63557065629188,0.292368236331405,-0.0535927205974328,-1.11673361486724,0.511802608014226,-0.425739407029378,0.514421772133938,0.132564187078041,-0.88633480255041,0.73531714774553,-0.65027953409743,0.385237771973022,0.576139503480796,1.41388921196295,1.15964495209604,0.667415777096881,1.02471102851831,-0.554082922592453,0.0015726931911429,0.00997757973669336,-0.0364028324398886,-0.456614674220672,-0.137249023455897,-0.0290576874542841,-0.569463860042011,0.165748280675934,-0.581265863984659,-0.246004129692637,1.46704795363913,0.633872829289247,-0.325214542317135,0.205170870600052,-0.92271040284095,1.15318868029712,0.304160000785011,-0.422952820946945,-0.216830261607237,-0.0867601472714796,0.147834260498395,-0.371608555905881,0.318683179888382,0.384695739811415,-0.189890833666523,-0.916821687545142,-0.659293399296158,-0.59924737906996,-0.576018578669365,0.413473431751746,0.852392207370097,0.381481570419276,0.607190958031094,-0.122069434552026,0.203268136868034,-0.0936464116018005,-0.127812836416653,0.225851971338309,-0.151026523770903,-1420.0602967282
-1.03422663686366,-1.4466661048319,-1.37475094697597,-0.979922809749347,-3.40726283307975,0.0307942022284722,-0.106171266880802,0.661175147174826,-0.126634556887594,0.449327826832659,0.243690938255749,0.424072612285381,0.236957485565772,0.431680915809901,0.568879208399272,-11.8622594887108,0.135730356922758,0.0467185080752856,-0.722369338605259,0.167306382363964,-0.0350979787556587,-0.212705287594564,0.264078333033185,-0.441880642993621,-0.0515898537579999,-0.244875447787603,-0.880375010557878,-0.151145057499269,-0.135107005899392,0.530961112099173,-0.134141225983272,0.474534725251403,-0.12345323441938,0.00617597176710429,-0.342272235111885,0.44813955648548,0.572879687514453,-0.563015986812348,-0.776415759707314,-0.986764600708534,0.501361269686016,0.588915519111722,0.0206029229101517,0.224666956857402,0.322611810825067,0.0912568872695576,0.674399129568017,0.510590937107995,0.238280011125296,0.114624459545225,0.371570278012674,-0.156726270583662,-0.888326902835228,-0.324891148205819,0.760761861511104,-0.397510803339561,-0.378933270011378,-0.22907886032118,-0.629301228344749,0.33486418446861,-0.103332146889595,-1.12071868186508,0.519190539895189,-0.417183993756058,0.582175217418177,0.0672164253558924,-0.882269499608022,0.743485871978805,-0.627522327177591,0.480991643913118,0.52340848576591,1.41037613161264,1.16897950990274,0.684394853025255,1.08660909504478,-0.515657041045679,0.0153315926929098,0.019624756060202,-0.0228576750167716,-0.387234557757126,-0.198044085884583,-0.0286399899096095,-0.560976025678858,0.164536461826351,-0.496653956152756,-0.280583700147451,1.44097539509755,0.599110645685475,-0.312680963588344,0.34847072008879,-1.02241258227776,1.12777719707692,0.26752067990092,-0.420155899954749,0.0031201657273193,-0.0834008253396657,0.136395858398647,-0.374071359136561,0.304134049446671,0.197856505638165,-0.213222979457961,-0.911448573672548,-0.646993312631748,-0.592469758116822,-0.543658189718637,0.42695951324596,0.840873392084651,0.375703580754713,0.633116457371171,-0.0984474809735938,0.185835063315975,-0.0910676163044677,-0.125363751744343,0.242344733228497,-0.154940596865404,-1419.59363780478
