"","asc_temp","asc_home","asc_prho","asc_tmho","asc_allm","b_temp_age_18_29","b_home_age_18_29","b_prho_age_18_29","b_tmho_age_18_29","b_allm_age_18_29","b_temp_age_45_64","b_home_age_45_64","b_prho_age_45_64","b_tmho_age_45_64","b_allm_age_45_64","b_temp_age_65plus","b_home_age_65plus","b_prho_age_65plus","b_tmho_age_65plus","b_allm_age_65plus","b_temp_gender_women","b_home_gender_women","b_prho_gender_women","b_tmho_gender_women","b_allm_gender_women","b_temp_kids_kids","b_home_kids_kids","b_prho_kids_kids","b_tmho_kids_kids","b_allm_kids_kids","b_temp_genderkids_women_kids","b_home_genderkids_women_kids","b_prho_genderkids_women_kids","b_tmho_genderkids_women_kids","b_allm_genderkids_women_kids","b_temp_income_50minus","b_home_income_50minus","b_prho_income_50minus","b_tmho_income_50minus","b_allm_income_50minus","b_temp_income_100_149","b_home_income_100_149","b_prho_income_100_149","b_tmho_income_100_149","b_allm_income_100_149","b_temp_income_150plus","b_home_income_150plus","b_prho_income_150plus","b_tmho_income_150plus","b_allm_income_150plus","b_temp_education_highschool","b_home_education_highschool","b_prho_education_highschool","b_tmho_education_highschool","b_allm_education_highschool","b_temp_education_graduate","b_home_education_graduate","b_prho_education_graduate","b_tmho_education_graduate","b_allm_education_graduate","b_temp_impedance_20_39","b_home_impedance_20_39","b_prho_impedance_20_39","b_tmho_impedance_20_39","b_allm_impedance_20_39","b_temp_impedance_40_59","b_home_impedance_40_59","b_prho_impedance_40_59","b_tmho_impedance_40_59","b_allm_impedance_40_59","b_temp_impedance_60plus","b_home_impedance_60plus","b_prho_impedance_60plus","b_tmho_impedance_60plus","b_allm_impedance_60plus","b_temp_neighborhood_suburban","b_home_neighborhood_suburban","b_prho_neighborhood_suburban","b_tmho_neighborhood_suburban","b_allm_neighborhood_suburban","b_temp_neighborhood_town","b_home_neighborhood_town","b_prho_neighborhood_town","b_tmho_neighborhood_town","b_allm_neighborhood_town","b_temp_jobtype12_professional","b_home_jobtype12_professional","b_prho_jobtype12_professional","b_tmho_jobtype12_professional","b_allm_jobtype12_professional","b_temp_jobtype12_administrative","b_home_jobtype12_administrative","b_prho_jobtype12_administrative","b_tmho_jobtype12_administrative","b_allm_jobtype12_administrative","b_temp_homeownership_nonown","b_home_homeownership_nonown","b_prho_homeownership_nonown","b_tmho_homeownership_nonown","b_allm_homeownership_nonown"
"asc_temp",-62.9800823405259,18.0436454927187,10.1613898354405,4.14180212344109,3.01362983613289,-8.64573378626311,1.59385955120447,1.45592595098363,0.366458819394872,0.395248956093763,-26.3241368298453,8.85713803960962,4.39591155744061,2.03441965145879,1.45099979094244,3.96085886053176e-17,0,0,0,0,-30.920778557236,9.40635355528975,5.47371465740167,1.66721163020001,1.19353294810131,-26.0808517680709,5.57859351163622,4.23383500403672,1.69003325145451,1.61859413057999,-12.6650195382705,3.13527387553916,1.94905468835144,0.684714546863722,0.531947948015894,-13.4587506217542,4.59809576999547,0.769680702723177,0.571780489093296,0.38229547990746,-17.0854592301797,4.93523886862621,2.74022861526791,1.27679821219782,0.981234113365721,-13.3243473078069,4.11020742774629,3.56125842861881,0.747640593619443,0.572004445743296,-25.6095010206501,7.1646101227039,1.78113605773794,1.78987479391563,1.52314974050064,-16.0000751745451,4.11142816583894,3.73135066829281,0.797667454860384,0.884362804843495,-21.5573816959762,2.77061599248577,4.44126562883262,1.25102116470704,1.34953368173752,-9.84151752126578,1.84498432822164,2.57031071682967,0.538354153527869,0.567334968493109,-12.9213163803351,7.80827924467614,1.50044162533563,0.940669241795946,0.486134727454489,-21.4248917882346,6.86622566140415,3.97215094126652,1.34350559757096,0.819986593905096,-8.81700196166935,2.94619094994008,0.784201059034409,0.771906693407846,0.311363934540446,-35.1525870992371,11.5710505053229,6.89231919739779,1.90163633073514,1.77016873008422,-13.1659997896873,4.25572423521321,1.78333873374272,0.782429556278195,0.496974925345033,-25.7233795450271,7.6368564283328,3.14007690268859,1.70296068219753,1.22338687894044
"asc_home",18.0436454926101,-210.323088181897,62.3869811632491,20.9427828236643,11.7211812574129,1.59385955884844,-13.0069206231219,3.28146919745011,0.788302832119393,0.60672928235807,8.85713803903763,-95.159916151108,29.1760675172645,11.5496225350033,6.06995605760392,0,-22.1749642364857,7.24098639321922,1.18787730153173,1.32779364290741,9.40635355927589,-114.113062183668,36.6207733785223,9.98746500238119,5.73714241795619,5.57859351230836,-68.9625467468208,19.2805868202192,6.53535602020543,4.63627014149625,3.13527387514049,-39.3093750479717,10.9920297117166,3.32040877590629,2.07251429293637,4.59809576982118,-28.075023947225,3.61960079832177,2.0349916690346,0.949657365840636,4.93523886890585,-51.8736900201087,14.0481139068803,5.76731734175493,3.53321063316652,4.11020742984616,-73.8510408682961,30.3296530178549,6.70357833874468,3.85960117946071,7.16461012297129,-50.2922684661319,5.82668137390943,5.14412091371878,3.86852446958301,4.11142816597487,-72.0435998536116,26.1198356527185,5.58827531601416,4.71112320332003,2.77061599666803,-40.2599395959292,11.7417593552151,2.4246070740636,2.34750548282489,1.84498432815226,-22.0356323089927,8.18453421085003,1.28077834442813,1.1489412054723,7.80827924492886,-83.0651882812338,31.0954797721214,11.0620343247455,5.65009465611549,6.86622566160664,-107.720774593664,36.4474079308814,10.605964273258,5.25063960537345,2.94619095016573,-25.5527899664982,4.89896016315612,3.20322365500225,1.29576281594116,11.5710505053009,-136.743056491118,45.7914333378446,12.8302456018762,8.03126661884686,4.25572423537136,-61.7285287416946,14.9905276918842,6.52300070241893,3.09988092637623,7.6368564285762,-75.8459547032245,16.6388435302956,8.26637865066314,4.6321371784711
"asc_prho",10.1613898353839,62.3869811631192,-161.718445952908,10.3660662571224,8.14204970312299,1.45592594610029,3.28146919757126,-14.331322799799,0.789943847116526,0.756243618374316,4.39591155768107,29.1760675178957,-68.0844676701082,5.23606112940561,3.90025797675079,0,7.24098639447953,-16.0133061092136,0.481744430272693,0.722835957498373,5.47371465623571,36.6207733777494,-90.0813963831474,5.19081567346092,3.93390495401627,4.23383500464868,19.2805868210483,-61.2153430586248,4.19986916253777,3.93616096617848,1.94905468791368,10.9920297114568,-30.262690268045,1.76495214298254,1.36914681468903,0.769680702547987,3.61960079824768,-8.22891701116479,0.243094974390152,0.16064349958427,2.74022861327919,14.0481138927763,-36.9422552623572,2.39994255540273,2.00980088015445,3.56125842808526,30.3296530186391,-71.2176082141315,4.39658290286539,3.70801820246372,1.78113605768559,5.82668137397218,-18.1391928428939,1.08945142021326,1.2094959222193,3.73135066798795,26.1198356524918,-70.3254231474422,3.72499589862209,4.42211271243424,4.44126563074759,11.7417593549314,-60.4400844151077,4.01283589538598,4.10147903179931,2.57031071695406,8.18453421084982,-29.6982983278401,1.89610101670531,1.84543387259228,1.50044162540585,31.0954797718576,-42.3975595056567,2.43331693020469,1.30596092045208,3.97215094133499,36.4474079307998,-85.0354730912955,5.51601983406262,3.62673534194456,0.784201058938684,4.89896016291512,-11.6923543731086,0.83356000497624,0.445356418522483,6.89231919733968,45.7914333383602,-110.839313639581,6.50915878203935,5.98366787240726,1.78333873366264,14.9905276917358,-40.2136294764293,2.80289547366878,1.61487688333674,3.14007690243744,16.6388435316102,-46.3352053932391,3.17739559717787,2.38763350842574
"asc_tmho",4.14180212348121,20.9427828236158,10.3660662571233,-59.7599141532374,2.49686744781122,0.36645882757138,0.788302831818664,0.78994384714766,-3.8153788934817,0.160590006819558,2.03441965126558,11.5496225356925,5.23606112929775,-29.5730127482879,1.37979750496782,0,1.18787730133181,0.481744430326278,-2.91238138118188,0.104190994785676,1.66721163088124,9.98746500266111,5.1908156742249,-27.3871475226781,0.938643169831677,1.69003325147189,6.53535601976726,4.19986916152254,-23.2870082197055,1.28029135866088,0.684714546579613,3.32040877895504,1.76495214630307,-10.3753748395752,0.388977687595405,0.571780489059806,2.03499166908504,0.243094974411988,-4.81529465809613,0.0957390265781889,1.2767982121879,5.76731734184317,2.39994255663625,-15.8360657098832,0.753405841107382,0.747640593255287,6.70357834017741,4.39658290201063,-17.9182521396892,0.668268965932225,1.78987479391197,5.1441209137216,1.08945142011393,-15.7446935843949,0.939436389859222,0.797667454911294,5.58827531579279,3.72499589857529,-17.1026360172779,0.849655368454889,1.25102116548062,2.4246070738971,4.0128358954634,-16.9453504365278,0.967844341858149,0.538354153507029,1.28077834459697,1.89610101674233,-6.62423239971048,0.332260859034848,0.940669241766693,11.0620343243678,2.43331693018583,-17.7082061356652,0.616501909536608,1.34350559776843,10.6059642739754,5.51601983502815,-28.0921593907326,0.998323652658955,0.771906693304937,3.20322365494926,0.83356000477576,-8.24894302714772,0.28154143109636,1.90163633056027,12.8302456020559,6.50915878213879,-33.0886648151301,1.41329004117512,0.782429556305484,6.52300070318436,2.80289547354206,-17.7429398655606,0.653143787724885,1.70296068231493,8.26637865056273,3.17739559704513,-23.2090858361989,1.04392573507
"asc_allm",3.01362983614732,11.7211812575122,8.14204970320094,2.49686744785331,-42.4794757594452,0.395248945976455,0.606729282223946,0.756243618439712,0.160590006763009,-3.78139434004742,1.45099979059259,6.0699560577023,3.90025797703911,1.37979750494733,-19.6423912380567,0,1.32779364266615,0.722835956934769,0.10419099481605,-3.82472484812276,1.19353294851931,5.73714241762313,3.93390495379708,0.938643170233711,-19.1406805610381,1.61859413068569,4.63627014150276,3.93616096471237,1.28029135754668,-20.460127811962,0.531947947924666,2.07251429321816,1.36914681473731,0.38897768687857,-7.63701838910032,0.382295479888465,0.949657365919707,0.160643499561943,0.0957390265494147,-2.91931073155734,0.981234113399568,3.53321063317855,2.00980088234135,0.753405841219952,-12.1566728824961,0.572004446589018,3.85960118026601,3.70801820248341,0.668268965816635,-13.3072527335182,1.52314974036211,3.86852446956435,1.2094959222237,0.939436389883579,-13.9181744179108,0.884362804941761,4.71112320347735,4.4221127125866,0.849655368449735,-17.9063911536126,1.34953368028999,2.34750548282468,4.10147903178682,0.967844341778858,-17.6969514255583,0.567334968355652,1.14894120543152,1.84543387248707,0.332260859027223,-6.54948805619116,0.486134727466902,5.65009465609578,1.30596092054219,0.616501909564072,-9.56848016646081,0.819986594043076,5.25063960498861,3.6267353421978,0.998323652627949,-17.1586233693078,0.311363934709896,1.29576281595202,0.445356418530956,0.281541431228718,-3.84054614762822,1.77016873018035,8.03126661934049,5.98366787248035,1.41329004078628,-27.2648906156387,0.496974925932585,3.09988092623838,1.6148768842166,0.653143786791438,-10.4879192647129,1.22338687921408,4.63213717910039,2.38763350874953,1.04392573510658,-16.0117005973932
"b_temp_age_18_29",-8.64573374969041,1.59385955125149,1.45592595098787,0.366458819534031,0.395248956035725,-8.64573379923223,1.59385955120259,1.4559259509624,0.36645881939928,0.395248956048034,0,0,0,0,0,0,0,0,0,0,-5.69518706597447,1.04591633608062,1.01989746361849,0.201089060306805,0.232676880796627,-3.37717076320395,0.534896228125217,0.424701582352004,0.130093682787348,0.188217146176434,-2.24626425518883,0.367479075306512,0.261627952799626,0.0739544549171819,0.105298170808075,-4.40192985710802,0.929886729497421,0.359052658325942,0.137333071655815,0.154662850776611,-1.26493082851339,0.251568827601946,0.281825205376882,0.085441344813251,0.067058616994573,-0.224708953547665,0.053629623384977,0.0822449455484113,0.0102567687367518,0.00479934075801553,-5.04828219811987,0.959102922079051,0.423930000967333,0.19351946431027,0.261431544999044,-0.97209493313584,0.115371574381822,0.269764445044133,0.031716152452302,0.0554948824538777,-3.82336811031734,0.282828342548299,0.708576586245373,0.146012220886222,0.203474240450796,-0.964983191245527,0.0907671211095299,0.29197769214842,0.0344113645009646,0.0395151903045102,-1.21786953545318,0.629289483142045,0.200041065259841,0.0694743062396342,0.058239156391739,-2.50040743147285,0.507021875497025,0.452893090744577,0.116060630251699,0.0965977842025671,-0.749511424710334,0.239205620348675,0.0605540539552092,0.0295016306174447,0.0176871471146994,-4.43944263228613,1.03747446909001,0.930351003106027,0.178138718844863,0.222695737209244,-1.79729031082156,0.404083701124762,0.269034856812315,0.0638301450036463,0.0630807565551597,-5.69784238564463,1.07967979346604,0.83543327647194,0.228919456143659,0.252461166944633
"b_home_age_18_29",1.59385955124502,-13.0069206235647,3.2814691976299,0.788302831801752,0.606729282205084,1.59385954438424,-13.0069206232307,3.28146919746051,0.788302832066531,0.606729282443634,0,0,0,0,0,0,0,0,0,0,1.0459163366716,-9.01392378315406,2.30537624453061,0.490011275562161,0.368917704566687,0.534896228130313,-4.37648733675103,0.870634441172485,0.255097271181645,0.26840970428595,0.367479075238455,-3.11805687419627,0.590454459754044,0.174728029370181,0.145180812449181,0.929886729483953,-5.38540593776178,0.684692491458433,0.246390372680637,0.191300395840432,0.251568827629653,-2.25371433144896,0.655090414866981,0.165174201482727,0.131957912936685,0.0536296230846648,-0.939245830240234,0.445483685336358,0.0665595383661109,0.0239103507613808,0.959102922299821,-5.85294110158527,0.70100503747967,0.31558434602416,0.353766672525591,0.115371574308425,-1.56518501675774,0.505024433008457,0.0602121479173983,0.0870936136545541,0.282828342923439,-2.91190751771225,0.725187006653085,0.112519858946868,0.128812570315246,0.0907671211638262,-0.936012800535047,0.373655967857806,0.0284933492991948,0.0369068915652273,0.629289483147655,-4.32075392143096,1.48180059312112,0.396888604017721,0.267604643331283,0.507021875403959,-5.60206783618787,1.73872897781119,0.356562293869579,0.238400972679165,0.239205620421241,-1.554603063093,0.231521043791046,0.126325511262859,0.047068446145218,1.0374744690306,-8.20806347460947,2.32096573676082,0.492784245275503,0.426923930016057,0.404083701120285,-4.11199804948723,0.860174364193564,0.244857850142003,0.156982675789477,1.07967979308668,-7.98478764080972,1.6314678284663,0.489380510803471,0.361623757874168
"b_prho_age_18_29",1.45592595096893,3.28146919760926,-14.3313227999716,0.789943847131492,0.75624361856022,1.45592591807644,3.28146919752936,-14.3313227998813,0.789943847269259,0.756243618517959,0,0,0,0,0,0,0,0,0,0,1.01989746306579,2.30537624466833,-10.2650246815812,0.526154760962182,0.502449486622733,0.424701582114557,0.870634441381267,-4.2004353015422,0.220942908511022,0.27115721939485,0.261627952835172,0.590454459685185,-2.67173284916132,0.123435197227697,0.136866218370206,0.359052658360906,0.684692491382693,-2.72426669287057,0.0743336990956102,0.0730024984512183,0.281825205150221,0.655090413275457,-2.54982351957078,0.164496772186582,0.141462970644915,0.0822449456841798,0.445483685334393,-1.27827494585167,0.077519708449425,0.046765017408939,0.4239300009781,0.701005037517542,-3.29886002035383,0.138752410152894,0.214917812385961,0.26976444502076,0.505024433173945,-3.04948239659095,0.129210230371733,0.214867817685786,0.708576587115844,0.725187006642343,-6.55861863027705,0.34336328017819,0.387788376024637,0.291977692164002,0.373655967812865,-2.502982048352,0.123197077496494,0.155195396914253,0.200041065281502,1.48180059309664,-2.55365313148837,0.175975541687778,0.116679171890454,0.452893090811839,1.73872897761622,-5.7494075188368,0.335054741168874,0.248962442262963,0.0605540539700661,0.231521043828631,-0.68486216120422,0.041668819539723,0.01865117463959,0.930351003128832,2.32096573679905,-9.19094685062762,0.495220157037911,0.533260423806152,0.269034856781771,0.860174364194414,-3.90166494689409,0.210052822447657,0.169591775551354,0.83543327685814,1.63146782861168,-8.05751424687117,0.438026224247626,0.435725214926408
"b_tmho_age_18_29",0.366458819515326,0.788302831821563,0.789943847133754,-3.81537889344455,0.160590006811355,0.366458822150147,0.788302831818615,0.789943847112692,-3.81537889340094,0.160590006897624,0,0,0,0,0,0,0,0,0,0,0.201089060143705,0.490011275358399,0.526154760955842,-2.37049546276569,0.0871377560632465,0.130093682524836,0.255097271353449,0.220942908428104,-1.30978310508485,0.0713999691436733,0.0739544551403636,0.174728029779975,0.12343519687791,-0.793821835997185,0.0334285614780226,0.13733307164024,0.246390372740222,0.0743336991195861,-0.973791229799424,0.0243953433792575,0.0854413447897614,0.165174201436909,0.164496772269091,-0.777394466000129,0.0367235799501617,0.0102567687641587,0.0665595384247939,0.0775197083614687,-0.233544698291225,0.00473165742932509,0.193519464318181,0.31558434597241,0.138752410149333,-1.51191629897711,0.0829608309829732,0.0317161524468715,0.0602121479425125,0.12921023037531,-0.465101627442776,0.0257042682029049,0.146012220923679,0.11251985896728,0.343363280187166,-1.47862496061699,0.0739800950660747,0.0344113644943782,0.0284933492588572,0.123197077499047,-0.338988418379,0.0126887066577686,0.069474306230523,0.396888604006089,0.175975541697013,-0.848919944508293,0.0359685563167262,0.116060630228009,0.356562294056597,0.335054741387528,-1.55371938033751,0.0580881489418405,0.029501630624209,0.126325511336009,0.0416688195456731,-0.347297488557359,0.00788288942932489,0.178138718888048,0.492784245428627,0.495220157193824,-2.11988143955298,0.0983908237810649,0.0638301450012844,0.244857850265166,0.210052822555394,-1.07006362977611,0.0383017446547547,0.22891945599516,0.48938051086831,0.43802622414983,-2.35622087796344,0.0946109769201959
"b_allm_age_18_29",0.395248956028855,0.606729282214288,0.756243618569304,0.16059000682047,-3.78139434031269,0.395248960586356,0.606729282204809,0.756243618562758,0.160590006780903,-3.78139434001547,0,0,0,0,0,0,0,0,0,0,0.232676881169103,0.368917705463983,0.50244948655444,0.0871377560474639,-2.38409729563821,0.188217146020693,0.26840970425685,0.271157219367622,0.071399969024169,-1.68486240960149,0.1052981708056,0.145180812504971,0.136866218409125,0.0334285612324486,-0.949604164604549,0.154662850787918,0.191300395899037,0.0730024984360269,0.0243953433514829,-0.957481783569529,0.0670586170148943,0.131957912859203,0.141462970915956,0.0367235799929552,-0.679572609837717,0.00479934076232016,0.0239103507951235,0.0467650173868501,0.00473165742406762,-0.116670726350964,0.261431544965566,0.353766672486739,0.214917812378023,0.0829608309527924,-1.98379304693289,0.0554948824689579,0.087093613663724,0.214867817667864,0.02570426819851,-0.743635046856259,0.203474240613575,0.128812570280815,0.387788376089293,0.0739800950532482,-1.85876491500627,0.0395151903193181,0.0369068915536593,0.155195396951003,0.0126887066584549,-0.419785273360229,0.0582391563716935,0.267604643317277,0.116679171922696,0.0359685563117314,-0.619586561740337,0.0965977842314377,0.238400972776119,0.24896244219864,0.0580881489484007,-1.20955237533027,0.0176871471497951,0.0470684461478593,0.0186511746401321,0.00788288943143432,-0.170779697611549,0.222695737228075,0.426923930098472,0.533260423815458,0.0983908238544733,-2.33990634737929,0.0630807566957461,0.156982675443364,0.169591776218849,0.038301744659888,-0.9240601439734,0.252461166908725,0.361623757978198,0.435725215020244,0.0946109769178584,-2.32820471057168
