"asc_2","asc_3","asc_4","asc_5","asc_6","l_2_1","l_2_2","l_2_3","l_2_4","l_2_5","l_3_1","l_3_2","l_3_3","l_3_4","l_3_5","l_4_1","l_4_2","l_4_3","l_4_4","l_4_5","l_5_1","l_5_2","l_5_3","l_5_4","l_5_5","l_6_1","l_6_2","l_6_3","l_6_4","l_6_5","d_01_2","d_02_4","d_03_3","d_04_1","d_05_3","d_06_5","d_07_1","d_08_3","d_09_1","d_10_3","d_11_1","d_12_1","d_13_4","d_14_1","d_15_2","d_16_1","d_17_2","d_18_2","d_19_2","d_20_5","d_21_3","d_22_1","d_23_3","s_01_2","s_02_4","s_03_3","s_04_1","s_05_3","s_06_5","s_07_1","s_08_3","s_09_1","s_10_3","s_11_1","s_12_1","s_13_4","s_14_1","s_15_2","s_16_1","s_17_2","s_18_2","s_19_2","s_20_5","s_21_3","s_22_1","s_23_3","logLike"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-137511.857277168
-0.0313989431524686,0.0128650025888213,-0.000347008891982512,-0.033130965737127,-0.0491203801154659,-0.0159689310903116,-0.0190663003810221,-0.0168637977824591,-0.0226970041574389,-0.0118492259123978,0.00732821175607494,0.00780970707547692,0.00753285369234904,0.00560311774612931,0.00405454808753604,-0.0010046402999421,0.000620326136434739,-0.000796588824525489,0.00232449943927172,0.00107051440084554,-0.0186156687789528,-0.0187008804886839,-0.0193660784015706,-0.0176149400584337,-0.0125500500453729,-0.0256982566886874,-0.0323527363972485,-0.0306585943046181,-0.0226459573779025,-0.0239674622319273,1.00516741096019,1.00259334973954,1.00489043122671,1.00454021063323,1.00474068117936,1.00068273776888,1.00479540969964,1.00530529239298,1.00299149962111,1.0048207594301,1.00491207043326,1.00476529880335,1.00255937664261,1.00456205391762,1.00517300762105,1.00521031896365,1.00471719094866,1.00520302296634,1.00549420220971,1.00087681771047,1.00466760051116,1.00501163833417,1.00497699961199,1.00166286897099,1.00131890313403,1.00179902968739,1.0017859552817,1.00172931747336,1.00139340877229,1.0019286158577,1.00190915322621,1.00189369181688,1.00188139243493,1.00201499020167,1.00198073956856,1.00122856583977,1.00189094363194,1.00176674748673,1.00209098669156,1.0015117681209,1.00173899326693,1.00198080240891,1.00132967174499,1.00180306059323,1.00199020246121,1.00184106650464,-136817.721605635
-0.338333648081482,-0.00527231627804536,-0.204084860710701,0.0196378381638413,-0.0129220187361185,0.0392186359214657,0.0313919110290625,0.0709152363777329,-0.000187060290887039,-0.03423759460948,0.0188434744929063,0.00162877653189344,0.0194941232009764,0.0221882552910468,0.00669553688432112,0.0209582614415199,0.0423669306523806,0.0504257888566677,0.0392625482187172,0.0135763683689019,-0.0588653099551617,-0.036122996214666,-0.0287250668112257,-0.0195044694103015,-0.0267279460093836,-0.052665151749125,-0.168593312403266,-0.0130968039515001,0.0418176606494613,-0.0592419548917392,1.01344301861663,1.00908499714318,1.02546884608893,1.0293131479937,1.03612169785394,0.999770929953784,1.0123824054311,1.01662024571543,0.998667605107957,0.999151554307402,1.02442352756055,1.00410065836869,1.01793231322001,1.00454650928917,1.00315540799162,1.02529773026382,1.02779519177641,1.00387446675664,1.01757881413029,1.01017096525894,1.00221871599046,1.02941664862413,1.00754051430979,1.00619851558699,1.00376524036598,1.00423618085031,1.00278255187231,1.00320484749088,1.00308557976906,1.00682634232431,1.00041073414867,1.00669405131331,1.00418676463399,1.00194791990247,1.00544915081836,1.00508512491792,1.00725955831288,1.00014757824022,1.00071296432212,1.00560558354431,1.00284028566634,1.00052378933055,1.00451005074298,1.0042387982768,0.998894872849323,1.00421533630816,-135641.355533353
-0.373451992560692,0.0218686393457809,-0.457426775324374,-0.20539970574529,-1.48004601749496,0.0146773723899234,-0.063585578471503,0.124345012234039,0.0146494851498942,-0.0678986221346173,0.0465527473779715,-0.0431964052682424,0.0297574722596531,0.0515255657050113,0.0147240159572724,0.0378673436129224,0.0710503459174533,0.116820657289378,0.102045786849639,0.0295338982904347,-0.0316882861918926,-0.0744092373036512,0.0227746406211554,0.0186214285823303,-0.0308648003483213,0.110402636745696,0.475962286675277,0.327081182455145,-0.035300055098317,0.120593155663495,1.06396268726983,1.03581792309229,1.07985670392252,1.10235394282206,1.1029626766737,1.01509671206875,1.05503351965687,1.06064807763096,1.00469514679895,0.996820210796479,1.0715908217682,0.999595114016221,1.05134294407459,1.01171655197777,1.00701734178616,1.06829160319328,1.08840810825148,1.00958395186317,1.03253496906086,1.02410763402063,0.99252074037603,1.0875292178128,1.04061455049187,1.00914968631387,1.01301010908512,1.00980461828772,0.999911367480716,1.00099486119757,1.0056617488662,1.0091558620608,0.999145963377591,1.01316756854196,1.00980488021907,1.00173425296742,1.01726382896694,1.01751060763495,1.02168308945507,1.00046969253582,1.00348401168164,1.0130053319113,1.00694760342778,1.00146142031203,1.01228875764759,1.01029589205224,0.996399982860725,1.0127495933543,-132500.800519801
-0.793327417874642,-0.037552382181915,-0.821300567805831,-0.209385883819724,-0.906831588745951,0.0516218170210899,0.0620200303464849,0.242980180992959,0.0535077027044103,-0.0725335234556672,0.0747603672255363,-0.0429601188216295,0.0532461641088422,0.0764126162657875,0.0210305226295549,0.0809017879703794,0.165852377272979,0.203377576314761,0.158216284373127,0.0539015672513194,-0.0839976422731437,-0.0564374050897024,0.0305618253593714,0.0292465134177258,-0.030800947905095,0.0286216417908259,0.0609331295234433,0.199162774869536,0.0915838065897995,0.0247878865821018,1.07460116839004,1.04852330691827,1.11142046981852,1.13963243972465,1.15033921947682,1.01428141961507,1.07251156948865,1.0763197692689,0.997145124482651,0.991142051922732,1.10210490310372,1.00054478174322,1.07929309955873,1.01133419741175,1.01169779721812,1.10035183132745,1.12125858562081,1.0148778784774,1.05135355286518,1.03749758560704,0.993382050771294,1.12304797491995,1.04823232474238,1.01885646104805,1.01711912409073,1.01412368391492,1.00140015950645,1.00382102435533,1.00935155877349,1.01490032361951,0.997502842452942,1.02015361103914,1.01320720095765,1.00168443765869,1.02283087334095,1.02388541180775,1.02985082862796,0.996304694259519,0.999961593622267,1.02169021764561,1.00848390194534,0.999480840570665,1.01683906401349,1.0134754674484,0.991213708566812,1.01587520746971,-130693.284913781
-0.699106156535514,-0.0301914204852685,-0.890169897713796,0.18420097430403,-1.9989601847748,0.0426029694075442,-0.0647790820644143,0.260875901378222,0.048120782507115,-0.159573862316163,0.0996767731453244,-0.074999744722582,0.0627926819492044,0.108508863045526,0.0261819533423689,0.0691948655032655,0.16276459671205,0.208943159249709,0.20975311414788,0.0617304434862433,-0.192807182566461,-0.186022074349383,-0.0608291663052923,-0.00850525878572268,-0.0722550823945044,0.086027708978643,0.578950172371484,0.510447602592751,0.0499746849156703,0.198811784688443,1.11097129374403,1.06812196598575,1.15622748828378,1.19501918683385,1.20178530698198,1.02298932435533,1.10903090079012,1.1054479193512,1.00033485345909,0.990476343857857,1.13844593745643,1.00043036882939,1.10797753663256,1.02015061715801,1.01515887199049,1.13413766921956,1.17245752969766,1.01860712535288,1.06105144355685,1.05123669678004,0.985320099096826,1.16377318308577,1.08010969272647,1.02370401155438,1.02521319578771,1.01893643684391,1.00025642096259,1.00610079458785,1.01131916275051,1.01694546002705,0.996458944560262,1.02636789835707,1.01670775200143,1.00143045976746,1.03058896890619,1.03510897665971,1.04049380671476,0.994922929097324,1.00239766787983,1.03026684355111,1.01004838812937,1.00059345239172,1.02505157556616,1.01765710679255,0.990357857006539,1.02030478360863,-128302.228377847
-1.07300654224792,-0.1113691940551,-1.30519427457915,-0.000295274763546349,-1.02294495111046,0.0284265530781861,0.11669244066756,0.355803871350996,0.0932436303596778,-0.132367820130228,0.135834035995807,-0.0678450181433993,0.0907670464833822,0.133771465723039,0.0332527664074718,0.109091348657666,0.287467805362441,0.313494438724756,0.265226506812051,0.0957229759519184,-0.213267031276322,-0.125041960256846,-0.00853471253433588,0.0269450781379783,-0.0489912296523463,-0.0257221039327382,-0.00702522322499366,0.236175084320207,0.165789129779196,0.0493929603936281,1.12683036489846,1.08492747354014,1.19290700569515,1.23596538185291,1.25284623856456,1.02474846156237,1.13169649068991,1.12353581354941,0.992169338682205,0.988774791346251,1.17251891882471,1.00577751222331,1.14114158191661,1.02214190883095,1.02425548416135,1.1701155316119,1.2098110655241,1.02828545727893,1.08147173839651,1.06256770310205,0.98981237221115,1.20082925024847,1.09238623725767,1.03576920837943,1.03055787469097,1.02487184980701,1.00157801407779,1.01007804460349,1.01613188588087,1.02256865896709,0.995546634617749,1.03351056965694,1.01993288298294,1.00169420705777,1.03576089196628,1.04344070747207,1.04810622124244,0.989864215735537,0.997074038216937,1.0425766540597,1.01256860649162,0.998993158940762,1.03053561896844,1.02092332196089,0.98416489528033,1.02378517595799,-126266.379817437
-0.920682198389045,-0.105156816626852,-1.27877570469981,0.531707065948416,-1.9895065873851,0.0259082582676713,-0.0298735341856445,0.347092486194126,0.0807259118861385,-0.228195333755058,0.159287197376944,-0.0943676892104123,0.0964880729822599,0.163997100100202,0.0363480210647027,0.0818053500088782,0.265726729479468,0.285373537988136,0.311448777236105,0.0966525540796033,-0.34945453999074,-0.26473291113385,-0.131481820802878,-0.0380093391433415,-0.0992579890110845,-0.0289748677649618,0.535994900513556,0.517800951703722,0.147936940199141,0.253710737841827,1.1639384923025,1.10542108873728,1.23419699358705,1.28570339673816,1.29603188067783,1.03119096721126,1.16831509242812,1.15005211576682,0.99719542673377,0.994041373056561,1.20442348416456,1.01311730068325,1.17173354923263,1.03547269501351,1.03056603468216,1.19977711217092,1.25740305714652,1.03731630371288,1.08801466396105,1.07702976525966,0.983158743690378,1.23552085405508,1.13084276424106,1.04175332764173,1.03930688752293,1.03058579888568,1.00071663371959,1.0155659885314,1.01839944582121,1.02398812811122,0.99462198080773,1.03893694106528,1.02169766011413,1.00217404794609,1.0404400608882,1.05571465015462,1.05649776877566,0.987778139342823,1.00021572344298,1.0538732636121,1.01286392411835,1.00091416599947,1.03924642540989,1.02442224073529,0.984357775407696,1.02622612136103,-124039.157398911
-1.20477972051432,-0.207229269746061,-1.70308977603966,0.299621651538099,-0.609596576788148,-0.00960466978200122,0.159244423005922,0.400185168689222,0.133202097699611,-0.190090036235741,0.204826119709415,-0.0763782547815964,0.119869812127053,0.188829456194515,0.0437233343183041,0.12560285361964,0.400798541685696,0.382851144264484,0.366875451927221,0.140126179992433,-0.352978854244286,-0.190216920994439,-0.0742160417998276,-0.00280263995215509,-0.0687042854628617,-0.171026628998213,-0.211111168573622,0.109115256359885,0.229506406173493,0.0626825665070793,1.184028006454,1.12401979827561,1.27541174241426,1.32569367470738,1.3479584299774,1.03417168525146,1.19274823197865,1.17013866638924,0.989391976932457,0.994228563404016,1.23943041202897,1.02749440373845,1.2070525851476,1.04034686868779,1.04219046712727,1.23689614982167,1.30060900673593,1.0494831977242,1.10760756063446,1.08635282457643,0.991255485143929,1.27220084142443,1.14781433154643,1.05556966780735,1.04595703707834,1.03740282731836,1.0025889835591,1.02090631605404,1.02388416119281,1.0299597412743,0.993958075251148,1.04599036608916,1.02511397673303,1.00285753322929,1.04279739969922,1.06576636134054,1.0627780541504,0.982210052381973,0.993739614149985,1.06884016823676,1.015792721172,0.999730521112257,1.04576822639534,1.02706944323201,0.977463675291537,1.02925560749904,-121942.877616288
-1.05503414528316,-0.206784780663474,-1.6455609342715,0.798824365731356,-1.61131460682522,0.000287320996566526,0.00593124290618452,0.385539556982558,0.113666288807545,-0.277140101270584,0.233352564582592,-0.0965432631321675,0.117035510919693,0.211577633224582,0.0466288834514915,0.110781861343456,0.365527428295699,0.330440776358245,0.408247253784078,0.138443403967203,-0.465155985899059,-0.320457244508113,-0.194198189056157,-0.0699879892328062,-0.117166835949933,-0.22601324389067,0.520329101333035,0.310525134400549,0.226109291699801,0.317875393095781,1.2221815963292,1.14718832507586,1.31414419962106,1.37057806517804,1.38678551818206,1.04100014970216,1.22924160335561,1.19755125310388,0.998957379929222,1.00530680684887,1.2685780555243,1.04710452708598,1.24139117896617,1.05567257532286,1.05367686648976,1.26314722842845,1.34756552480585,1.06939333882304,1.11259916643042,1.09936108925902,0.987693832230731,1.3070511488588,1.19300876485717,1.06341621667703,1.05618257138765,1.04428545250735,1.00230278634799,1.02907941088493,1.02627364842253,1.03134010655244,0.993131724258901,1.04981299473756,1.02560436164209,1.00414066715709,1.0423286728873,1.07955749203432,1.07065901721578,0.978765028327378,0.998084144856826,1.08300744740521,1.01357878205435,1.00221201976007,1.0548225903322,1.02953525592585,0.977311154822086,1.03044034565868,-119763.833770116
